Race,Date,WPM,Accuracy,Text,Outcome
7156.,2018-11-29 23:03:59,172.02,99%,226,No win (2 of 2)
7155.,2018-11-29 23:03:04,204.25,99%,3621208,Win (1 of 2)
7154.,2018-11-29 23:02:20,183.99,99%,3621208,Win (1 of 2)
7153.,2018-11-29 23:01:32,174.31,99%,3622136,Win (1 of 2)
7152.,2018-11-29 22:58:57,179.53,99%,3810526,Win (1 of 2)
7151.,2018-11-29 22:57:54,229.86,100%,3640168,Win (1 of 2)
7150.,2018-11-29 22:55:37,203.62,99%,416,Win (1 of 2)
7149.,2018-11-29 22:54:09,179.04,98%,3641423,Win (1 of 2)
7148.,2018-11-29 22:53:27,187.86,99%,3641216,Win (1 of 2)
7147.,2018-11-29 22:52:37,183.18,99%,3622254,Win (1 of 2)
7146.,2018-11-29 22:51:08,193.61,99%,3620319,Win (1 of 2)
7145.,2018-11-29 22:49:25,201.31,100%,3810864,Win (1 of 2)
7144.,2018-11-29 22:48:15,175.80,99%,3620280,Win (1 of 2)
7143.,2018-11-29 22:46:25,174.12,99%,210,Win (1 of 2)
7142.,2018-11-29 22:45:39,187.48,99%,115,Win (1 of 2)
7141.,2018-11-29 22:44:50,188.92,100%,3622260,Win (1 of 2)
7140.,2018-11-29 22:44:06,175.40,99%,3550165,Win (1 of 2)
7139.,2018-11-29 22:42:13,188.01,100%,3810490,Win (1 of 2)
7138.,2018-11-29 22:41:32,210.99,100%,3640385,Win (1 of 2)
7137.,2018-11-29 22:39:55,167.71,98%,3811408,Win (1 of 2)
7136.,2018-11-29 22:39:05,178.21,99%,3620172,Win (1 of 2)
7135.,2018-11-29 22:37:53,206.83,100%,3810901,Win (1 of 2)
7134.,2018-11-29 22:37:20,207.82,100%,3550137,Win (1 of 2)
7133.,2018-11-29 22:36:31,170.66,99%,392,No win (2 of 2)
7132.,2018-11-29 22:35:37,189.40,100%,3100072,Win (1 of 2)
7131.,2018-11-29 22:34:56,184.23,99%,539,Win (1 of 2)
7130.,2018-11-29 22:32:26,206.77,100%,3640093,Win (1 of 2)
7129.,2018-11-28 21:47:44,195.78,100%,4070207,No win (2 of 2)
7128.,2018-11-28 21:35:04,285.04,100%,3640103,Win (1 of 2)
7127.,2018-11-28 21:33:27,279.80,100%,534,Win (1 of 2)
7126.,2018-11-28 21:32:56,273.33,100%,534,Win (1 of 2)
7125.,2018-11-28 21:31:10,281.35,100%,3640926,Win (1 of 2)
7124.,2018-11-28 21:11:43,202.06,100%,3810852,Win (1 of 2)
7123.,2018-11-28 21:10:20,188.92,99%,3810645,Win (1 of 2)
7122.,2018-11-28 21:09:36,196.35,100%,580,Win (1 of 2)
7121.,2018-11-28 21:06:14,174.17,99%,3810170,Win (1 of 2)
7120.,2018-11-28 21:05:31,164.53,99%,3622274,Win (1 of 2)
7119.,2018-11-28 21:04:31,178.13,98%,3620151,Win (1 of 2)
7118.,2018-11-28 21:03:35,193.68,99%,3810826,Win (1 of 2)
7117.,2018-11-28 21:03:08,192.77,100%,3620602,Win (1 of 2)
7116.,2018-11-28 21:01:56,200.35,100%,3620395,Win (1 of 2)
7115.,2018-11-28 20:58:15,182.98,99%,3641419,Win (1 of 2)
7114.,2018-11-28 20:57:21,198.97,100%,3810236,Win (1 of 2)
7113.,2018-11-28 20:56:42,185.74,98%,3640269,Win (1 of 2)
7112.,2018-11-28 20:55:28,210.21,100%,3100041,Win (1 of 2)
7111.,2018-11-28 20:54:05,184.24,99%,3622264,Win (1 of 2)
7110.,2018-11-28 20:50:53,175.45,99%,3810481,Win (1 of 2)
7109.,2018-11-28 20:49:37,193.92,100%,3100005,Win (1 of 2)
7108.,2018-11-28 20:49:04,180.56,99%,3622256,Win (1 of 2)
7107.,2018-11-28 20:47:37,188.75,99%,3641101,Win (1 of 2)
7106.,2018-11-28 20:45:34,193.59,100%,374,Win (1 of 2)
7105.,2018-11-28 20:44:11,178.34,99%,3810745,Win (1 of 2)
7104.,2018-11-28 20:43:06,225.94,100%,3640310,Win (1 of 2)
7103.,2018-11-28 20:42:44,192.37,100%,3640310,Win (1 of 2)
7102.,2018-11-28 20:41:42,177.28,99%,3550274,Win (1 of 2)
7101.,2018-11-28 20:40:27,218.77,100%,3622324,Win (1 of 2)
7100.,2018-11-28 20:39:58,198.32,99%,3550193,Win (1 of 2)
7099.,2018-11-28 20:39:26,184.08,99%,3811362,Win (1 of 2)
7098.,2018-11-28 20:38:52,174.54,98%,3811362,Win (1 of 2)
7097.,2018-11-28 20:38:21,189.86,99%,3622455,Win (1 of 2)
7096.,2018-11-28 20:37:20,175.87,99%,3622455,Win (1 of 2)
7095.,2018-11-28 20:36:24,187.55,99%,3811051,Win (1 of 2)
7094.,2018-11-28 20:35:13,177.64,99%,3810036,Win (1 of 2)
7093.,2018-11-28 20:34:13,175.70,98%,3641341,Win (1 of 2)
7092.,2018-11-28 20:32:22,187.11,99%,228,Win (1 of 2)
7091.,2018-11-28 20:29:28,168.49,99%,3622189,Win (1 of 2)
7090.,2018-11-28 20:28:26,181.33,99%,3640355,Win (1 of 2)
7089.,2018-11-28 20:27:55,166.95,98%,3622361,Win (1 of 2)
7088.,2018-11-26 22:04:23,197.33,100%,3622142,Win (1 of 2)
7087.,2018-11-26 22:03:38,171.60,99%,3640092,Win (1 of 2)
7086.,2018-11-26 22:03:07,182.91,100%,3622279,Win (1 of 2)
7085.,2018-11-26 22:01:25,172.96,99%,3810376,Win (1 of 2)
7084.,2018-11-26 22:00:20,177.50,99%,3621337,Win (1 of 2)
7083.,2018-11-26 21:59:50,166.89,99%,3620034,Win (1 of 2)
7082.,2018-11-26 21:59:04,185.51,99%,3810726,Win (1 of 2)
7081.,2018-11-26 21:57:28,183.47,99%,3550728,Win (1 of 2)
7080.,2018-11-26 21:55:53,160.57,99%,3810307,Win (1 of 2)
7079.,2018-11-26 21:55:05,206.95,100%,3640922,Win (1 of 2)
7078.,2018-11-26 21:54:38,155.04,99%,3640075,Win (1 of 2)
7077.,2018-11-26 21:51:26,149.76,98%,3640629,Win (1 of 2)
7076.,2018-11-26 21:49:52,165.90,99%,3640236,Win (1 of 2)
7075.,2018-11-26 21:47:35,169.91,99%,3810005,Win (1 of 2)
7074.,2018-11-26 21:46:06,167.88,99%,3810157,Win (1 of 2)
7073.,2018-11-26 21:43:55,173.50,98%,3810372,Win (1 of 2)
7072.,2018-11-25 04:54:05,284.09,100%,3641177,Win (1 of 2)
7071.,2018-11-25 04:49:25,227.76,100%,4070017,Win (1 of 2)
